广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,1468.13,1.39688868,26,56.46653846,0.27637879,2026-05-26,2026-05-26
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,74.23,0.65114035,5,14.846,0.62926041,2026-05-26,2026-05-26
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_35A,USD,78.72,2.24914286,5,15.744,0.95033028,2026-05-26,2026-05-26
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A - Copy",USD,12.38,1.238,3,4.12666667,4.25928918,2026-05-26,2026-05-26
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_44A,USD,1.83,0.4575,3,0.61,26.60655738,2026-05-26,2026-05-26
20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,116.31,1.30685393,2,58.155,0.30642249,2026-05-26,2026-05-26
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy",USD,101.55,0.64681529,2,50.775,0.17124569,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,11.67,1.45875,2,5.835,3.48157669,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,47.85,0.825,1,47.85,0.77304075,2026-05-26,2026-05-26
"20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_46A - Copy",USD,49.34,1.29842105,1,49.34,0.22882043,2026-05-26,2026-05-26
"20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_16A - Copy 3",USD,114.51,1.68397059,1,114.51,0.17858702,2026-05-26,2026-05-26
20260511_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_063A,USD,8.69,0.96555556,1,8.69,2.35327963,2026-05-26,2026-05-26
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A,USD,0.04,0,,,0,2026-05-26,2026-05-26
20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,1.73,0.57666667,,,0,2026-05-26,2026-05-26
20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_03A,USD,0.09,0,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,0.04,0,,,0,2026-05-26,2026-05-26
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_04A - Copy",USD,0.04,0,,,0,2026-05-26,2026-05-26
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A - Copy",USD,3.72,0.465,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,2.04,2.04,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy 2",USD,17.6,2.93333333,,,0,2026-05-26,2026-05-26
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_04A - Copy",USD,21.94,1.99454545,,,0,2026-05-26,2026-05-26
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_03A - Copy",USD,22.28,2.47555556,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy 2",USD,21.81,1.67769231,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy 2",USD,23.35,0.68676471,,,0,2026-05-26,2026-05-26
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_03A - Copy 2",USD,16.19,4.0475,,,0,2026-05-26,2026-05-26
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_04A - Copy 2",USD,19.17,3.834,,,0,2026-05-26,2026-05-26
20260211_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_17A,USD,1.95,0.975,,,0,2026-05-26,2026-05-26
20260211_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_12A,USD,45.22,2.51222222,,,0,2026-05-26,2026-05-26
20260211_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_18A,USD,57.67,2.40291667,,,0,2026-05-26,2026-05-26
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_181A,USD,0.32,0,,,0,2026-05-26,2026-05-26
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_187A,USD,0.69,0.69,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,0.34,0,,,0,2026-05-26,2026-05-26
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy",USD,20.14,0.95904762,,,0,2026-05-26,2026-05-26
"20260211_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_17A - Copy",USD,5.76,2.88,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy 2",USD,0.25,0,,,0,2026-05-26,2026-05-26
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy 2",USD,9.67,0.74384615,,,0,2026-05-26,2026-05-26
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy 2",USD,9.45,1.35,,,0,2026-05-26,2026-05-26
20260206_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_120A,USD,1.3,1.3,,,0,2026-05-26,2026-05-26
20260206_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_SYF_pingme_FL_85A,USD,33.47,2.091875,,,0,2026-05-26,2026-05-26
20260514_JustFit_JA_9x16_FX-Slim_ZT-dancemachine_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085B,USD,41.77,2.19842105,,,0,2026-05-26,2026-05-26
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_DHR_05A,USD,0,0,,,0,2026-05-26,2026-05-26
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_DHR_08A,USD,4.73,4.73,,,0,2026-05-26,2026-05-26
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_DHR_10A,USD,3.59,1.795,,,0,2026-05-26,2026-05-26
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_20A,USD,7.22,1.805,,,0,2026-05-26,2026-05-26
