广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,1570.54,1.80937788,18,87.25222222,0.16600023,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_078A,USD,104.45,1.80086207,4,26.1125,0.52838679,2026-06-01,2026-06-01
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_04A,USD,190.71,1.36221429,3,63.57,0.31408946,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_03A,USD,14.97,7.485,2,7.485,1.4261857,2026-06-01,2026-06-01
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_24A,USD,92.13,1.02366667,2,46.065,0.24606534,2026-06-01,2026-06-01
"20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_078A - Copy",USD,12.9,1.29,2,6.45,2.20155039,2026-06-01,2026-06-01
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_08A,USD,35.73,1.02085714,1,35.73,0.57010915,2026-06-01,2026-06-01
"20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_04A - Copy",USD,44.78,1.72230769,1,44.78,0.34323359,2026-06-01,2026-06-01
"20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_10A - Copy",USD,6.59,3.295,1,6.59,2.30500759,2026-06-01,2026-06-01
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZL_pingme_FL_42A,USD,51.65,1.43472222,1,51.65,0.29757986,2026-06-01,2026-06-01
"20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_080A - Copy",USD,22.31,2.47888889,1,22.31,0.30972658,2026-06-01,2026-06-01
"20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_90A - Copy",USD,2.63,0,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_11A,USD,6.94,3.47,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_100A,USD,9.76,9.76,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_09A,USD,10.79,1.54142857,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_04A,USD,9.64,3.21333333,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_06A,USD,7.27,0,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_05A,USD,6.9,6.9,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_097A,USD,3.87,0,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_099A,USD,8.59,2.1475,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_098A,USD,7.95,7.95,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_07A,USD,0.25,0,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_01A,USD,0.61,0.61,,,0,2026-06-01,2026-06-01
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_091A,USD,0.43,0,,,0,2026-06-01,2026-06-01
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_083A,USD,3.87,0.43,,,0,2026-06-01,2026-06-01
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_095A,USD,24.83,0.62075,,,0,2026-06-01,2026-06-01
20260525_JustFit_EN_720x1280_FX-FUPA_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_09A,USD,24.22,24.22,,,0,2026-06-01,2026-06-01
20260526_JustFit_EN_720x1280_FX-FUPA_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_01A,USD,6.79,1.6975,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_54A,USD,6.81,3.405,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_46A,USD,6.81,6.81,,,0,2026-06-01,2026-06-01
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_45A,USD,9.91,2.4775,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_15A,USD,7.83,3.915,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_11A,USD,5.25,2.625,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_17A,USD,8.24,0,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_35A,USD,14.9,1.65555556,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_23A,USD,1.06,0,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_13A,USD,11.73,2.9325,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_34A,USD,1.77,0.885,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_12A,USD,18.08,4.52,,,0,2026-06-01,2026-06-01
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_33A,USD,4.65,0,,,0,2026-06-01,2026-06-01
