广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,3390.69,1.96334105,29,116.92034483,0.12984968,2026-05-31,2026-05-31
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_04A,USD,46.62,1.13707317,5,9.324,1.39360789,2026-05-31,2026-05-31
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_24A,USD,80.57,1.87372093,3,26.85666667,0.88308303,2026-05-31,2026-05-31
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_87A,USD,32.11,1.6055,2,16.055,0.53939583,2026-05-31,2026-05-31
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_02A,USD,10.36,2.072,2,5.18,5.9507722,2026-05-31,2026-05-31
20260518_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_DHR_08A,USD,9.05,1.29285714,2,4.525,1.90939227,2026-05-31,2026-05-31
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZL_pingme_FL_42A,USD,41.7,3.20769231,2,20.85,0.38177458,2026-05-31,2026-05-31
20260518_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_13A,USD,18.68,2.07555556,2,9.34,1.61563169,2026-05-31,2026-05-31
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_mia_39A,USD,37.44,2.67428571,2,18.72,0.69337607,2026-05-31,2026-05-31
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_83A,USD,12.96,2.592,1,12.96,1.1720679,2026-05-31,2026-05-31
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_03A,USD,22.56,2.05090909,1,22.56,0.67109929,2026-05-31,2026-05-31
20260525_JustFit_EN_720x1280_FX-FUPA_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_09A,USD,51.24,2.44,1,51.24,0.39754098,2026-05-31,2026-05-31
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_46A,USD,20.24,6.74666667,1,20.24,0.34140316,2026-05-31,2026-05-31
20260518_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_32A,USD,32.57,1.91588235,1,32.57,0.50076758,2026-05-31,2026-05-31
"20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_090A - Copy",USD,28.15,3.51875,1,28.15,0.53783304,2026-05-31,2026-05-31
20260518_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_48A,USD,18.34,1.22266667,1,18.34,0.82551799,2026-05-31,2026-05-31
