广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,507.65,2.17875536,7,72.52142857,0.22826751,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-Coach_ZT-Lazy_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X3R1C2_FL_DHR_17A,USD,25.36,1.33473684,3,8.45333333,2.06506309,2026-06-04,2026-06-04
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_DHR_47A,USD,29.68,1.14153846,2,14.84,0.94339623,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-Hidden_ZT-Lazy_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X3R1C2_FL_DHR_10A,USD,20.66,2.95142857,1,20.66,0.73523717,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-Hidden_ZT-Lazy_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X3R1C2_FL_DHR_08A,USD,14.35,7.175,1,14.35,1.41533101,2026-06-04,2026-06-04
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_092A,USD,23.02,1.77076923,,,0,2026-06-04,2026-06-04
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,5.33,1.77666667,,,0,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-POV_ZT-Lazy_LVL1-Real_LVL2-workoutgame_LVL3-Bed_RS-P2X3R1C2_FL_DHR_15A,USD,3.06,0,,,0,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-Coach_ZT-Lazy_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X3R1C2_FL_DHR_18A,USD,25.35,3.16875,,,0,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-POV_ZT-Lazy_LVL1-Real_LVL2-workoutgame_LVL3-Bed_RS-P2X3R1C2_FL_DHR_13A,USD,29.61,1.974,,,0,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-POV_ZT-Lazy_LVL1-Real_LVL2-workoutgame_LVL3-Bed_RS-P2X3R1C2_FL_DHR_14A,USD,2.12,0,,,0,2026-06-04,2026-06-04
20260603_JustFit_EN_720x1280_FX-Coach_ZT-Lazy_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X3R1C2_FL_DHR_16A,USD,4.28,4.28,,,0,2026-06-04,2026-06-04
20260604_JustFit_EN_720x1280_FX-Coach_ZT-Disease_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X2R1C2_fl_WZC_08A,USD,14.21,2.36833333,,,0,2026-06-04,2026-06-04
20260604_JustFit_EN_720x1280_FX-Coach_ZT-Disease_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X2R1C2_fl_WZC_05A,USD,5.19,0.865,,,0,2026-06-04,2026-06-04
20260604_JustFit_EN_720x1280_FX-Coach_ZT-Disease_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X2R1C2_fl_WZC_10A,USD,3.42,0,,,0,2026-06-04,2026-06-04
20260604_JustFit_EN_720x1280_FX-Coach_ZT-Disease_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X2R1C2_fl_WZC_09A,USD,13.75,2.29166667,,,0,2026-06-04,2026-06-04
20260604_JustFit_EN_720x1280_FX-Coach_ZT-Disease_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X2R1C2_fl_WZC_06A,USD,4.98,4.98,,,0,2026-06-04,2026-06-04
20260604_JustFit_EN_720x1280_FX-Coach_ZT-Disease_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X2R1C2_fl_WZC_07A,USD,12.42,2.484,,,0,2026-06-04,2026-06-04
"20260603_JustFit_EN_720x1280_FX-Coach_ZT-Lazy_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X3R1C2_FL_DHR_18A - Copy",USD,11.12,11.12,,,0,2026-06-04,2026-06-04
"20260603_JustFit_EN_720x1280_FX-Coach_ZT-Lazy_LVL1-Real_LVL2-Fupa_LVL3-Bed_RS-P2X3R1C2_FL_DHR_17A - Copy",USD,2.56,0.85333333,,,0,2026-06-04,2026-06-04
"20260603_JustFit_EN_720x1280_FX-POV_ZT-Lazy_LVL1-Real_LVL2-workoutgame_LVL3-Bed_RS-P2X3R1C2_FL_DHR_15A - Copy",USD,0.47,0,,,0,2026-06-04,2026-06-04
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_56A,USD,11.22,5.61,,,0,2026-06-04,2026-06-04
