广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,1025.98,1.99996101,8,128.2475,0.12909608,2026-05-28,2026-05-28
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,79.76,0.92744186,3,26.58666667,0.56920762,2026-05-28,2026-05-28
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,51.5,0.88793103,1,51.5,0.30407767,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_092A,USD,13.16,1.88,1,13.16,1.54483283,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_083A,USD,59.12,2.03862069,1,59.12,0.27435724,2026-05-28,2026-05-28
20260518_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_099A,USD,14.54,2.07714286,1,14.54,1.39821183,2026-05-28,2026-05-28
20260518_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_110A,USD,8.98,1.796,1,8.98,1.6169265,2026-05-28,2026-05-28
20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,0.21,0,,,0,2026-05-28,2026-05-28
20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,47.42,1.39470588,,,0,2026-05-28,2026-05-28
20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_03A,USD,0.13,0.13,,,0,2026-05-28,2026-05-28
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,50.67,0.93833333,,,0,2026-05-28,2026-05-28
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,2.99,2.99,,,0,2026-05-28,2026-05-28
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy 2",USD,19.95,1.81363636,,,0,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_090A,USD,13.64,6.82,,,0,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_078A,USD,12.7,6.35,,,0,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_097A,USD,0.57,0.285,,,0,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_070A,USD,10.35,5.175,,,0,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_071A,USD,1.74,0,,,0,2026-05-28,2026-05-28
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_095A,USD,18.42,1.842,,,0,2026-05-28,2026-05-28
