广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,1144.38,1.69286982,8,143.0475,0.1183086,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,35.13,1.0978125,2,17.565,1.30885283,2026-05-27,2026-05-27
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_35A,USD,97.07,2.48897436,2,48.535,0.2206655,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_077A,USD,21.42,2.142,1,21.42,0.65966387,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_083A,USD,6.6,6.6,1,6.6,3.08484848,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_098A,USD,12.23,2.446,1,12.23,1.66475879,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_066A,USD,5.73,0.81857143,1,5.73,2.29144852,2026-05-27,2026-05-27
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,93.05,1.03388889,,,0,2026-05-27,2026-05-27
20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,2.1,1.05,,,0,2026-05-27,2026-05-27
20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,56.44,1.22695652,,,0,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,0.17,0.17,,,0,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,50.66,0.6939726,,,0,2026-05-27,2026-05-27
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy",USD,24.12,0.44666667,,,0,2026-05-27,2026-05-27
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_03A - Copy 2",USD,6.07,2.02333333,,,0,2026-05-27,2026-05-27
"20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_04A - Copy 2",USD,3.67,0,,,0,2026-05-27,2026-05-27
20260211_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_18A,USD,16.74,1.52181818,,,0,2026-05-27,2026-05-27
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_187A,USD,0.37,0,,,0,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,3.67,0.9175,,,0,2026-05-27,2026-05-27
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy",USD,1.56,1.56,,,0,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy 2",USD,5.69,0.81285714,,,0,2026-05-27,2026-05-27
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy 2",USD,15.22,0.84555556,,,0,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy 2",USD,12.76,2.12666667,,,0,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy 2",USD,5.39,0,,,0,2026-05-27,2026-05-27
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy 2",USD,22.7,0.68787879,,,0,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_090A,USD,0.93,0,,,0,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_078A,USD,8.3,8.3,,,0,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_091A,USD,23.67,3.38142857,,,0,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_092A,USD,14.1,7.05,,,0,2026-05-27,2026-05-27
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_097A,USD,3.93,0,,,0,2026-05-27,2026-05-27
