广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,641.66,1.99273292,5,128.332,0.15249509,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_DHR_47A,USD,29.99,2.999,2,14.995,0.88496165,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_092A,USD,38.77,1.68565217,1,38.77,0.9515089,2026-06-03,2026-06-03
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_088A,USD,0,0,1,0,0,2026-06-03,2026-06-03
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_24A,USD,53.95,1.25465116,1,53.95,0.12845227,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_093A,USD,12.22,1.74571429,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_19A,USD,8.88,2.96,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_20A,USD,4.19,4.19,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_099A,USD,24.36,3.045,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_100A,USD,3.99,1.995,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_21A,USD,5.53,1.3825,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_091A,USD,7.53,3.765,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_094A,USD,6.1,6.1,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_22A,USD,2.4,0,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_098A,USD,14.49,3.6225,,,0,2026-06-03,2026-06-03
20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,20.43,1.276875,,,0,2026-06-03,2026-06-03
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,7.92,1.584,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_095A,USD,21.18,2.35333333,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_077A,USD,2.64,0,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_076A,USD,4.32,0.72,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_082A,USD,8.1,4.05,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_075A,USD,15.67,15.67,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_097A,USD,3.92,0,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_074A,USD,16.39,1.26076923,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_096A,USD,16.49,3.298,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_073A,USD,1.16,0,,,0,2026-06-03,2026-06-03
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_08A,USD,24.22,0.71235294,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_085A,USD,2.38,2.38,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_088A,USD,14.31,1.78875,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_079A,USD,2.49,0,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_090A,USD,6.13,6.13,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_083A,USD,4.74,1.185,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_080A,USD,8.06,1.34333333,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_081A,USD,3.82,0.955,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_084A,USD,2.33,2.33,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_089A,USD,8.62,2.87333333,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_087A,USD,5.4,1.35,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_078A,USD,8.95,8.95,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_086A,USD,2.86,0,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_56A,USD,1.66,1.66,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_69A,USD,16.16,2.69333333,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_55A,USD,11.96,2.392,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_63A,USD,10.79,5.395,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_DHR_52A,USD,4.48,0,,,0,2026-06-03,2026-06-03
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_FL_64A,USD,5.62,2.81,,,0,2026-06-03,2026-06-03
