广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,3161.27,2.27265996,21,150.53666667,0.11880036,2026-05-29,2026-05-29
20260528_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_06A,USD,59.38,1.74647059,3,19.79333333,0.43735264,2026-05-29,2026-05-29
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_18A,USD,20.77,1.38466667,2,10.385,1.41405874,2026-05-29,2026-05-29
20260527_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_02A,USD,31.53,1.31375,2,15.765,0.6450999,2026-05-29,2026-05-29
20260527_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_06A,USD,13.18,6.59,2,6.59,3.06828528,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_29A,USD,15.72,3.93,1,15.72,3.15267176,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_083A,USD,10.57,3.52333333,1,10.57,3.48438978,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_085A,USD,17.63,5.87666667,1,17.63,0.85819626,2026-05-29,2026-05-29
20260526_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_15A,USD,27.76,2.13538462,1,27.76,1.78530259,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_62A,USD,27.81,1.98642857,1,27.81,0.24847177,2026-05-29,2026-05-29
20260529_JustFit_EN_9x16_FX-Slim_ZT-womon8_LVL1-typeface_RS-P2X1R2C1_095KB_DHR_FL_JR_RMG-4769,USD,24.06,1.71857143,1,24.06,0.28802993,2026-05-29,2026-05-29
20260529_JustFit_EN_9x16_FX-Slim_ZT-womon9_LVL1-typeface_RS-P2X1R2C1_095KB_DHR_FL_JR_RMG-4769,USD,17.28,1.152,1,17.28,0.90740741,2026-05-29,2026-05-29
20260526_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,19.33,2.76142857,1,19.33,0.48008277,2026-05-29,2026-05-29
20260527_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_17A,USD,16.71,8.355,1,16.71,0.90903651,2026-05-29,2026-05-29
20260528_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_jr_dhr_fl_WZC_18A,USD,12.36,1.545,1,12.36,1.10679612,2026-05-29,2026-05-29
20260528_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C_WZC_16A,USD,19.72,0.986,1,19.72,1.03194726,2026-05-29,2026-05-29
20260528_JustFit_EN_720x1280_FX-FUPA_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_04A,USD,19.67,2.45875,1,19.67,1.03457041,2026-05-29,2026-05-29
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,103.91,0.92776786,,,0,2026-05-29,2026-05-29
20260522_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,4.66,4.66,,,0,2026-05-29,2026-05-29
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,0.85,0,,,0,2026-05-29,2026-05-29
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,2.21,0,,,0,2026-05-29,2026-05-29
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,50.48,0.91781818,,,0,2026-05-29,2026-05-29
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_083A,USD,3.91,3.91,,,0,2026-05-29,2026-05-29
20260511_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZX_pingme_096A,USD,0.34,0,,,0,2026-05-29,2026-05-29
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_13A - Copy",USD,7.93,1.13285714,,,0,2026-05-29,2026-05-29
"20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A - Copy",USD,16.68,0.98117647,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_20A,USD,9.41,9.41,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_22A,USD,7.37,2.45666667,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_21A,USD,23.94,1.71,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_19A,USD,4.39,2.195,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_17A,USD,21.84,1.56,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_44A,USD,12.21,3.0525,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_DHR_03A,USD,19.27,3.21166667,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_40A,USD,19.19,3.19833333,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_39A,USD,17.64,5.88,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_38A,USD,6.05,6.05,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_37A,USD,14.91,3.7275,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_36A,USD,21.81,4.362,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_DHR_04A,USD,14.51,2.07285714,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_43A,USD,3.77,0,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_DHR_06A,USD,5.58,0.62,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_DHR_02A,USD,10.57,2.114,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_42A,USD,24.83,3.54714286,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_DHR_05A,USD,20.62,1.14555556,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_DHR_01A,USD,12.37,1.237,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_41A,USD,5.38,1.345,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_100A,USD,1.41,1.41,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-Ai_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_54A,USD,23.96,4.792,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-Ai_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_52A,USD,10.03,3.34333333,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_097A,USD,17.61,1.60090909,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-Ai_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_DHR_43A,USD,15.77,1.31416667,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-Ai_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_DHR_45A,USD,7.92,3.96,,,0,2026-05-29,2026-05-29
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_099A,USD,3.6,1.2,,,0,2026-05-29,2026-05-29
