广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,3196.67,1.86177635,27,118.39518519,0.14371205,2026-05-30,2026-05-30
20260526_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,13.3,0.475,4,3.325,5.00225564,2026-05-30,2026-05-30
20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_088A,USD,28.07,2.55181818,3,9.35666667,1.87103669,2026-05-30,2026-05-30
20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A,USD,52.83,1.12404255,2,26.415,0.76604202,2026-05-30,2026-05-30
20260525_JustFit_EN_720x1280_FX-FUPA_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_11A,USD,22.27,1.71307692,2,11.135,0.95868882,2026-05-30,2026-05-30
20260529_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_jr_dhr_fl_WZC_07A,USD,36.51,1.92157895,2,18.255,0.58011504,2026-05-30,2026-05-30
20260525_JustFit_EN_9x16_FX-Ai_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_44A,USD,6.07,3.035,1,6.07,2.50247117,2026-05-30,2026-05-30
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_DHR_083A,USD,24.7,1.54375,1,24.7,1.49230769,2026-05-30,2026-05-30
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_24A,USD,30.78,3.42,1,30.78,0.2251462,2026-05-30,2026-05-30
20260526_JustFit_EN_720x1280_FX-FUPA_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_01A,USD,8.23,1.646,1,8.23,4.24665857,2026-05-30,2026-05-30
20260526_JustFit_EN_720x1280_FX-FUPA_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_05A,USD,29.46,1.84125,1,29.46,0.69144603,2026-05-30,2026-05-30
20260526_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_11A,USD,33.5,2.39285714,1,33.5,1.11671642,2026-05-30,2026-05-30
20260529_JustFit_EN_9x16_FX-Slim_ZT-womon9_LVL1-typeface_RS-P2X1R2C1_095KB_DHR_FL_JR_RMG-4769,USD,40.04,2.10736842,1,40.04,0.25174825,2026-05-30,2026-05-30
20260518_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WPL_pingme_DHR_21A,USD,12.75,1.275,1,12.75,0.79058824,2026-05-30,2026-05-30
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZL_pingme_FL_48A,USD,16.65,1.85,1,16.65,1.22342342,2026-05-30,2026-05-30
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZL_pingme_FL_42A,USD,24.26,2.20545455,1,24.26,1.13314097,2026-05-30,2026-05-30
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_79A,USD,14.06,4.68666667,1,14.06,0.49146515,2026-05-30,2026-05-30
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZL_pingme_FL_39A,USD,10.67,0.88916667,1,10.67,1.90909091,2026-05-30,2026-05-30
20260528_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_06A,USD,70.98,1.2675,1,70.98,0.07255565,2026-05-30,2026-05-30
20260528_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C_WZC_16A,USD,40.39,1.12194444,1,40.39,0.12899232,2026-05-30,2026-05-30
20260512_JustFit_EN_720x1280_FX-Ai_ZT-coach_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,0.55,0,,,0,2026-05-30,2026-05-30
"20260511_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_11A - Copy",USD,47.82,1.16634146,,,0,2026-05-30,2026-05-30
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_20A,USD,9.41,9.41,,,0,2026-05-30,2026-05-30
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_22A,USD,1.02,0,,,0,2026-05-30,2026-05-30
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_19A,USD,5.16,1.72,,,0,2026-05-30,2026-05-30
20260525_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_18A,USD,39.01,1.2190625,,,0,2026-05-30,2026-05-30
20260525_JustFit_EN_9x16_FX-AI_ZT-coach_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_39A,USD,4.71,1.57,,,0,2026-05-30,2026-05-30
