广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
,USD,918.63,1.96288462,5,183.726,0.09231138,2026-06-02,2026-06-02
"20260515_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_078A - Copy",USD,36.57,4.57125,2,18.285,0.92863002,2026-06-02,2026-06-02
20260522_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_LLX_pingme_FL_02A,USD,5.88,1.47,1,5.88,3.46598639,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_084A,USD,3.29,3.29,1,3.29,4.60182371,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_07A,USD,0,0,1,0,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_24A,USD,21.86,1.98727273,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_093A,USD,8.67,1.734,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_19A,USD,3.76,1.25333333,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_092A,USD,13.43,6.715,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_20A,USD,18.9,3.15,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_099A,USD,4.32,0,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_100A,USD,5.85,2.925,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_21A,USD,17.99,2.57,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_091A,USD,14.42,2.06,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_094A,USD,16.21,3.242,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_22A,USD,18.75,3.75,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_098A,USD,1.46,0.73,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_15A,USD,3.58,1.79,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_11A,USD,10.42,10.42,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_17A,USD,2.19,2.19,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_35A,USD,0.05,0,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_23A,USD,0.58,0,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_13A,USD,0.89,0,,,0,2026-06-02,2026-06-02
20260529_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_DHR_34A,USD,12.39,4.13,,,0,2026-06-02,2026-06-02
