广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZX_pingme_FL_08A,USD,10.55,2.6375,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_25A,USD,4.37,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_LLX_pingme_FL_72A,USD,4.79,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_32A,USD,8.81,1.762,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZX_pingme_FL_07A,USD,4.36,1.45333333,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_28A,USD,2.97,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_29A,USD,4.65,4.65,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_33A,USD,0.83,0,,,0,2026-05-22,2026-05-22
20251209_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_SYF_pingme_FL_23A,USD,9.5,1.9,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_WYN_pingme_FL_98A,USD,11.59,1.65571429,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZX_pingme_FL_03A,USD,15.35,3.8375,,,0,2026-05-22,2026-05-22
20251201_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C3_ZL_pingme_FL_30A,USD,1.33,0,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_04A,USD,23.41,3.34428571,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_14A,USD,0.37,0,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_02A,USD,9.48,4.74,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_05A,USD,13.89,13.89,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_03A,USD,21.3,3.04285714,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_01A,USD,26.82,3.3525,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_11A,USD,6.2,3.1,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_12A,USD,1.55,0,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_02A,USD,18.38,3.06333333,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_03A,USD,2.72,2.72,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_15A,USD,13.37,0.955,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_01A,USD,24.97,2.27,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_04A,USD,2.41,2.41,,,0,2026-05-22,2026-05-22
20260521_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_05A,USD,7.11,3.555,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085V,USD,19.01,1.72818182,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-bedworkout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4085N,USD,16.05,2.675,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085U,USD,8.71,4.355,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085P,USD,14.04,3.51,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085R,USD,23.92,1.99333333,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-bedworkout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4085M,USD,4.25,4.25,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085W,USD,36.47,3.647,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085S,USD,3.53,3.53,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-bedworkout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4085O,USD,6.01,2.00333333,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085T,USD,28,1.64705882,,,0,2026-05-22,2026-05-22
20260514_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-CN_RMG-4085Q,USD,5.08,0,,,0,2026-05-22,2026-05-22
20260515_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4083I,USD,9.72,2.43,,,0,2026-05-22,2026-05-22
20260515_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4083H,USD,5.68,1.42,,,0,2026-05-22,2026-05-22
20260515_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4083J,USD,11.84,5.92,,,0,2026-05-22,2026-05-22
20260515_JustFit_EN_9x16_FX-Slim_ZT-workout_LVL1-typeface_RS-P2X1R1C1_095KB-FL-CN-DHR_RMG-4083K,USD,27.93,2.53909091,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_12A,USD,12.29,3.0725,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_09A,USD,17.4,5.8,,,0,2026-05-22,2026-05-22
